stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code,stop_code,stop_desc,zone_id,stop_url,stop_timezone,wheelchair_boarding
5137BL0001X1,Marechal Fontenelle,-22.88611,-43.40069,0,,,,,,,,
5137BL0001X2,Marechal Fontenelle,-22.88613,-43.40079,0,,,,,,,,
5138BL0001U1,São José de Magalhães Bastos,-22.86815,-43.41306,0,,,,,,,,
5138BL0001U2,São José de Magalhães Bastos,-22.86809,-43.41314,0,,,,,,,,
5144BM0001U1,Campo Grande,-22.90172,-43.5548,0,,,,,,,,
5144BM0001U2,Campo Grande,-22.90181,-43.55477,0,,,,,,,,
5144BM0002U2,Prefeito Alim Pedro,-22.90363,-43.56629,0,,,,,,,,
5144BM0004U1,Pina Rangel,-22.90755,-43.57574,0,,,,,,,,
5144BM0004U2,Pina Rangel,-22.90746,-43.57577,0,,,,,,,,
5144BM0005U1,Parque Esperança,-22.90695,-43.57166,0,,,,,,,,
5144BM0006U1,Cândido Magalhães,-22.90772,-43.56404,0,,,,,,,,
5146BM0001U1,São Jorge,-22.91088,-43.58414,0,,,,,,,,
5146BM0001U2,São Jorge,-22.91079,-43.58417,0,,,,,,,,
5146BM0002U1,Ana Gonzaga,-22.91135,-43.58968,0,,,,,,,,
5146BM0002U2,Ana Gonzaga,-22.91126,-43.58972,0,,,,,,,,
5146BM0003U1,Inhoaíba,-22.91338,-43.59568,0,,,,,,,,
5146BM0003U2,Inhoaíba,-22.9133,-43.59572,0,,,,,,,,
5146BM0004U1,Vilar Carioca,-22.91422,-43.60127,0,,,,,,,,
5146BM0004U2,Vilar Carioca,-22.91414,-43.60127,0,,,,,,,,
5146BM0005U1,Icurana,-22.91513,-43.60576,0,,,,,,,,
5146BM0005U2,Icurana,-22.91504,-43.60579,0,,,,,,,,
5147BM0001U1,Cosmos,-22.91572,-43.61604,0,,,,,,,,
5147BM0001U2,Cosmos,-22.91563,-43.61602,0,,,,,,,,
5147BM0002U1,Parque São Paulo,-22.91632,-43.62232,0,,,,,,,,
5147BM0002U2,Parque São Paulo,-22.91623,-43.62232,0,,,,,,,,
5148BM0001U1,Júlia Miguel,-22.91569,-43.62792,0,,,,,,,,
5148BM0001U2,Júlia Miguel,-22.91559,-43.62794,0,,,,,,,,
5148BM0002U1,Santa Eugênia,-22.91684,-43.63282,0,,,,,,,,
5148BM0002U2,Santa Eugênia,-22.91677,-43.63282,0,,,,,,,,
5148BM0003U1,31 de Outubro,-22.91825,-43.63897,0,,,,,,,,
5148BM0003U2,31 de Outubro,-22.91818,-43.63904,0,,,,,,,,
5148BM0004U1,Cesarinho,-22.92046,-43.64344,0,,,,,,,,
5148BM0004U2,Cesarinho,-22.92037,-43.64348,0,,,,,,,,
5149BM0001U1,Três Pontes,-22.92537,-43.64986,0,,,,,,,,
5149BM0001U2,Três Pontes,-22.92533,-43.64996,0,,,,,,,,
5149BM0002U1,Vila Paciência,-22.92835,-43.65369,0,,,,,,,,
5149BM0002U2,Vila Paciência,-22.92828,-43.65375,0,,,,,,,,
5149BM0003U1,Cesarão III,-22.93174,-43.65718,0,,,,,,,,
5149BM0003U2,Cesarão III,-22.93166,-43.65723,0,,,,,,,,
5149BM0004U1,Cesarão II,-22.93345,-43.66189,0,,,,,,,,
5149BM0004U2,Cesarão II,-22.93337,-43.66192,0,,,,,,,,
5149BM0005U1,Cesarão I,-22.93458,-43.66527,0,,,,,,,,
5149BM0005U2,Cesarão I,-22.93452,-43.66535,0,,,,,,,,
5149BO0001U1,Santa Cruz,-22.9166848926352,-43.6837053349877,0,,,,,,,,
