longitude,latitude,vei_nro_gestor,direcao,velocidade,inicio_viagem,linha,nomeLinha,nomeItinerario,comunicacao
-43.633377,-22.91697,86814,1,25,2022-08-04 09:28:06,12,PINGO DAGUA X ALVORADA (EXPRESSO),Iti Default,2022-08-04 10:22:52
-43.276907,-22.841415,12734,7,0,2022-08-04 05:48:30,46,PENHA X ALVORADA (EXPRESSO),ITI VOLTA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 10:22:51
-43.329537,-22.859212,44705,0,41,2022-08-04 09:24:43,40A,ALVORADA X MADUREIRA (EXPRESSO),Iti Default,2022-08-04 10:23:02
-43.487287,-23.019463,47023,5,38,2022-08-04 09:42:18,13,MATO ALTO X ALVORADA (EXPRESSO),ITI VOLTA - 13 MATO ALTO X ALVORADA (EXPRESSO),2022-08-04 10:22:53
-43.43375,-23.003515,13402,0,18,2022-08-04 10:13:49,51,VILA MILITAR X TERMINAL RECREIO (PARADOR),ITI IDA - 51 VILA MILITAR X TERMINAL RECREIO (PARADOR),2022-08-04 10:22:38
-43.367525,-23.000702,47008,1,0,2022-08-04 10:03:04,46,PENHA X ALVORADA (EXPRESSO),ITI VOLTA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 10:22:53
-43.365197,-23.000875,86853,1,0,2022-08-04 09:08:55,12,PINGO DAGUA X ALVORADA (EXPRESSO),ITI IDA - 12 PINGO D`AGUA X ALVORADA (EXPRESSO),2022-08-04 10:22:44
-43.388033,-22.9601,90006,1,14,2022-08-04 09:22:15,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI VOLTA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 10:23:00
-43.41201,-23.000032,47029,0,0,2022-08-04 09:43:05,25A,MATO ALTO X ALVORADA (PARADOR),ITI IDA - 25A MATO ALTO X ALVORADA (PARADOR),2022-08-04 10:23:24
-43.399343,-22.884428,47030,7,0,2022-08-04 10:19:10,53B,TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),ITI IDA - 35B TERMINAL SULACAP X JARDIM OCEANICO (PARADOR),2022-08-04 10:23:31
-43.352486999999996,-22.897587,30536,4,15,2022-08-04 09:54:40,41,MADUREIRA X TERMINAL RECREIO (EXPRESSO),ITI IDA - 41 MADUREIRA X TERMINAL RECREIO (EXPRESSO),2022-08-04 10:23:19
-43.336438,-22.877905,12703,3,0,2022-08-04 10:23:09,42A,GALEAO X MADUREIRA (PARADOR),ITI IDA - 42A GALEAO X MADUREIRA (PARADOR),2022-08-04 10:23:22
-43.365265,-23.000652,12739,6,0,2022-08-04 08:52:19,10,SANTA CRUZ X ALVORADA (EXPRESSO),ITI IDA - 10 SANTA CRUZ X ALVORADA (EXPRESSO),2022-08-04 10:23:14
-43.385373,-22.95937,90006,1,24,2022-08-04 09:22:15,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI VOLTA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 10:23:30
-43.274378,-22.841938,12715,2,43,2022-08-04 09:58:37,42A,GALEAO X MADUREIRA (PARADOR),ITI VOLTA - 42A GALEAO X MADUREIRA (PARADOR),2022-08-04 10:23:33
-43.374203,-22.95162,12706,4,5,2022-08-04 08:12:22,46,PENHA X ALVORADA (EXPRESSO),ITI VOLTA - 46 PENHA X ALVORADA (EXPRESSO),2022-08-04 10:23:24
-43.451443,-23.01061,50309,1,56,2022-08-04 09:25:19,13,MATO ALTO X ALVORADA (EXPRESSO),ITI IDA - 13 MATO ALTO X ALVORADA (EXPRESSO),2022-08-04 10:23:23
-43.366103,-22.99717,30531,4,47,2022-08-04 09:03:44,35A,MADUREIRA X JARDIM OCEANICO (PARADOR),ITI IDA - 35A MADUREIRA X JARDIM OCEANICO (PARADOR),2022-08-04 10:23:12
-43.239805,-22.839495,13404,5,0,2022-08-04 08:49:50,42A,GALEAO X MADUREIRA (PARADOR),ITI VOLTA - 42A GALEAO X MADUREIRA (PARADOR),2022-08-04 10:23:28
