stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,GrupoLatitude,GrupoLongitude,idModalSmtr,IDCorredor,IDTipoParada,IDTipoSentido,IDPropriedadeParada,Seletivado,BRS,IDTipoSinalizacao,IDConservacaoSinalizacao,IDTipoAbrigo,ConservacaoAbrigo,IDTipoAssento,IDTipoBaia,QualidadePavimento,IDTipoCalcada,IDLixeiras,IDRampa,braile,piso_tatil,elevador,n_vagas,n_cabines,AP,RA,Bairro,Observacoes,Foto,dataAtualizacao,endereco
100111,Avenida Cesário de Melo próximo ao 2580,,-22.90515,-43.55718,0
100112,Rua Aurélio de Figueiredo próximo ao 114-330,,-22.90432,-43.55658,0
100113,Rua Aurélio de Figueiredo próximo ao 15,,-22.90197,-43.55628,0
100115,Estrada Intendente Magalhães próximo ao 90,,-22.88312,-43.34393,0
100116,Estrada Intendente Magalhães próximo ao 25-65,,-22.88308,-43.34327,0
100117,Avenida Ernani Cardoso, 385,,-22.88283,-43.34025,0
100118,Rua Padre Manso, 90,,-22.880477941172064,-43.33737731779099,0
100120,Avenida Ministro Edgard Romero próximo ao 239,,-22.87163,-43.33592,0
100121,Avenida Ministro Edgard Romero próximo ao 323,,-22.86851,-43.33486,0
100122,Avenida Ministro Edgard Romero próximo ao 485-495,,-22.8652,-43.33391,0
100123,Avenida Ministro Edgard Romero próximo ao 608,,-22.86369,-43.33263,0
100124,Avenida Ministro Edgard Romero próximo ao 804,,-22.86042,-43.32962,0
100126,Avenida Monsenhor Félix próximo ao 57,,-22.85533,-43.32917,0
100127,Avenida Monsenhor Félix próximo ao 192,,-22.85247,-43.32822,0
100128,Avenida Monsenhor Félix próximo ao 326-340,,-22.85044,-43.32597,0
100131,Praça Caraguata próximo ao 43-69,,-22.84373,-43.32262,0
100132,Estrada Padre Roser próximo ao 856,,-22.8424,-43.32092,0
100133,Estrada Padre Roser próximo ao 620-660,,-22.8417,-43.31849,0
100134,Estrada Padre Roser próximo ao 388,,-22.84138,-43.31662,0
100135,Estrada Padre Roser próximo ao 293,,-22.84097,-43.31536,0
100136,Avenida Meriti próximo ao 2486-2490,,-22.8385,-43.31062,0
100137,Avenida Meriti próximo ao 2642,,-22.83735,-43.30945,0
100138,Estrada do Quitungo próximo ao 1729,,-22.8361,-43.30624,0
100139,Estrada do Quitungo próximo ao 1501,,-22.83531,-43.30398,0
100140,Igreja de Santo Antônio,,-22.83435,-43.30271,0
100142,Estrada do Quitungo próximo ao 795,,-22.83006,-43.30153,0
100143,Colégio Estadual Prof. José de Souza Marques,,-22.82895,-43.29993,0
100144,Estrada do Quitungo próximo ao 411,,-22.82813,-43.29863,0
100145,Estrada do Quitungo próximo ao 87,,-22.82684,-43.29564,0
100146,Rua Itabira próximo ao 685,,-22.82632,-43.29506,0
100147,Rua Itabira próximo ao 855,,-22.82381,-43.29609,0
100149,Rua Bulhões Marcial próximo ao 564-634,,-22.81902,-43.29976,0
100150,Rua Bulhões Marcial próximo ao 380-414,,-22.81668,-43.30091,0
100151,Rua Bulhões Marcial próximo ao 472-540,,-22.81348,-43.30113,0
100152,Rua Bulhões Marcial próximo ao 664-692,,-22.81,-43.30168,0
